"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Thermincola",2,3,4,20,0,6,3,5,10,14,11,7,6,6,8,9,23,9,25,3,6,2,6,1,4,8,32,7,1,0,2,7,3,4,3,10,1,0,2,18,3,17,16,0,2,6,10
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Candidatus_Desulforudis",47,9,9,16,1,10,0,1,35,6,8,9,3,4,4,6,8,0,21,9,2,10,1,12,8,25,16,43,7,7,43,33,40,40,3,22,12,3,2,6,32,17,25,3,5,38,36
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|g__Flavonifractor",40,62,37,47,6,14,26,65,29,59,74,28,4,52,59,67,111,30,98,38,45,28,39,50,14,98,68,156,78,41,75,74,108,124,21,88,48,13,13,83,186,208,164,29,74,57,114
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|g__Intestinimonas",37,42,42,72,7,6,13,28,32,34,19,28,11,33,37,68,40,38,62,42,29,27,27,50,17,114,73,118,40,11,56,107,138,47,13,50,35,5,9,186,79,61,66,13,43,126,68
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|g__Gottschalkia",3,2,22,37,4,26,31,87,8,66,37,16,6,33,41,33,66,30,24,22,25,33,59,39,10,19,34,46,2,1,46,2,24,2,20,32,10,2,0,49,33,49,60,9,1,13,17
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter",39,46,29,46,11,15,25,61,44,41,35,44,22,75,71,58,98,77,99,61,66,65,33,30,11,70,43,80,55,20,33,20,30,17,31,94,41,2,4,133,179,90,83,24,14,15,59
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XVII_Incertae_Sedis|g__Thermaerobacter",19,6,11,27,0,3,1,31,5,7,10,6,7,18,12,11,13,7,3,6,5,4,1,31,12,76,55,111,16,18,92,104,130,135,8,41,28,13,5,17,61,55,67,12,38,72,80
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus",61,163,60,79,18,57,74,158,33,292,203,80,33,90,80,66,184,105,95,77,100,147,55,40,20,71,95,67,29,21,48,30,62,18,25,62,13,9,13,273,75,104,115,4,14,57,24
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ethanoligenens",40,156,43,96,3,29,66,129,35,80,74,40,20,116,82,99,98,31,14,23,35,41,64,78,18,74,38,114,33,10,73,41,65,12,18,64,32,12,5,108,74,69,41,18,18,67,66
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium",109,126,142,195,37,79,92,145,95,156,136,157,51,148,165,250,311,183,406,116,149,144,182,74,32,173,231,229,78,27,72,63,89,36,38,158,102,11,20,343,204,288,280,25,24,75,135
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Mageeibacillus",244,118,165,350,87,231,196,431,158,783,221,673,163,296,348,506,601,402,410,288,492,326,214,159,122,150,229,448,46,49,72,58,296,42,38,199,90,9,13,575,207,467,521,31,30,102,90
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Symbiobacteriaceae|g__Symbiobacterium",14,15,20,31,0,7,19,22,13,12,24,12,8,13,14,13,25,20,7,8,6,11,19,45,11,66,78,221,49,23,47,44,84,112,8,44,45,31,8,43,36,64,57,16,65,247,59
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella",1312,93,78,107,1126,88,82,113,4097,1025,91,1443,60,115,122,1484,139,96,168,3756,74,704,89,65,13,61,78,72,102,86,35,15,19,5,16,45,26,10,8,77,63,131,160,3,7,17,34
"d__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae|g__Natranaerobius",2,5,6,6,0,1,9,43,4,20,21,7,1,4,4,8,23,45,11,6,9,9,69,8,4,7,6,11,3,1,2,0,15,5,4,6,13,5,1,17,18,44,29,2,0,1,10
"d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelothrix",20,33,39,35,23,76,17,44,18,144,78,104,19,51,71,75,82,55,74,16,32,37,51,45,14,21,46,92,21,12,39,4,89,8,21,69,28,14,10,121,29,48,88,15,11,9,28
"d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter",61,118,63,71,28,66,51,69,138,116,75,24,20,82,57,68,87,125,60,36,133,52,62,31,21,40,17,79,10,18,75,6,185,7,6,33,3,7,1,44,40,49,160,2,1,15,21
"d__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum",13,31,24,33,7,9,28,37,15,84,116,17,2,48,19,17,74,33,31,22,67,19,21,12,2,24,28,24,37,5,7,8,35,11,4,13,9,12,6,44,75,50,33,1,8,6,6
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae|g__Pelosinus",22,26,53,126,47,161,39,129,15,112,87,126,55,103,78,103,150,101,229,26,32,89,87,21,23,95,69,81,9,47,212,17,61,17,23,89,13,7,3,259,89,79,62,11,12,117,74
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas",87671,67103,91589,268492,126678,46148,17626,15865,14639,46334,63055,88131,48910,25476,15924,14134,15720,14463,53913,9561,34842,159147,108298,111033,59336,317789,455352,203428,24180,33550,15736,87559,54786,32968,104726,344391,2138,1465,17536,735439,199100,79412,124964,12385,13954,24012,240428
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus",66,76,67,156,24,92,25,49,53,92,96,98,67,90,95,113,141,25,464,78,70,179,136,48,26,192,236,134,48,30,119,61,48,97,37,182,64,9,7,771,159,149,104,15,57,91,140
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera",152,84,116,142,34,80,39,45,26,145,290,184,127,205,109,302,507,44,2096,81,124,909,453,221,67,631,449,285,14,5,66,146,54,172,104,688,25,10,6,1499,125,61,81,4,18,871,124
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella",35878,525940,120709,233540,550590,1854797,75655,173634,44007,927291,266161,132284,32254,656689,392772,504454,499084,1182698,1201900,169118,38373,421584,191796,10657,5531,49879,23372,131983,13534,218751,1548913,81761,305714,98400,13882,16489,11292,7384,1787,215239,2438,2973,259,721,74590,1185582,54929
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister",7932,1637,1138,2117,421,1085,8921,402,191,9401,5703,9332,4062,4504,993,1993,7935,304,5204,3147,429,14861,5941,1562,152,6607,2155,2416,95,3353,566,347,743,1292,1683,6865,125,7,326,5497,826,446,358,487,748,324,21576
"d__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Negativicoccus",44,77,55,187,55,84,1321,133,92,148,113,256,162,280,289,207,187,1092,1119,147,50,307,239,31,40,361,246,62,10,20,77,29,53,19,32,247,24,3,7,258,151,69,44,9,29,165,74
"d__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae|g__Limnochorda",18,12,22,59,1,12,6,31,16,15,28,17,16,49,21,14,28,41,24,14,14,13,20,31,23,55,40,143,51,39,48,49,162,81,18,39,34,10,7,54,64,50,35,12,22,80,115
"d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Finegoldia",76,25,66,199,137,366,218,268,20,336,75,275,103,140,210,993,151,113,86,78,88,105,80,74,22,60,115,191,42,94,109,16,121,13,44,119,98,18,12,272,138,623,394,18,14,491,73
"d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus",12,7,21,20,2,20,36,61,10,97,26,47,11,50,44,94,64,28,21,16,25,17,18,41,5,16,35,63,11,8,13,4,28,2,6,29,34,7,4,47,34,65,85,2,8,6,30
"d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus",321,60,132,180,103,218,208,338,92,355,104,474,139,86,119,373,434,422,375,92,172,113,124,92,61,143,394,361,65,360,71,19,199,27,41,135,94,14,16,392,188,446,397,31,19,88,148
"d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas",26682,3017,6296,13172,4772,19936,20271,12614,2183,40350,13563,67833,17032,5184,16489,6369,33757,552,6484,4464,1169,19872,6613,4870,2198,5914,11200,22267,1336,44333,16563,1751,4394,1202,1286,25353,924,714,518,4731,5083,72839,21461,1638,1261,15908,6019
"d__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Murdochiella",810,381,414,319,31,158,237,135,284,559,233,274,116,418,111,518,571,32,556,607,248,232,191,200,14,111,103,728,55,330,88,29,51,17,44,300,59,6,7,177,237,596,716,25,19,88,191
"d__Bacteria|p__Firmicutes|c__Tissierellia|g__Ezakiella",14,1,41,33,11,38,113,174,40,127,26,255,44,46,54,186,91,67,74,51,46,43,47,51,14,18,30,196,39,31,43,8,32,7,17,66,37,5,6,122,209,537,404,8,14,43,46
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus",72,39,55,43,3,32,2,23,30,28,40,35,7,34,78,15,31,53,18,31,26,29,29,122,40,137,87,292,119,67,140,156,115,221,30,109,60,21,18,68,143,134,92,31,66,102,126
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus",5,26,32,24,5,25,6,27,38,6,19,21,10,56,40,7,25,29,13,9,3,24,19,13,19,56,25,78,15,16,56,101,81,112,20,26,19,24,3,61,30,27,23,6,8,33,54
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus",1,2,3,2,2,0,2,0,6,5,6,5,2,9,28,6,2,10,1,1,3,2,6,9,2,13,13,43,17,4,21,7,21,10,10,14,23,4,0,16,22,20,7,1,11,21,32
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus",18,13,19,35,2,0,0,8,5,12,12,7,1,12,7,31,6,7,2,5,1,18,15,30,10,50,31,69,17,8,52,32,74,28,4,16,6,12,3,17,50,29,26,3,31,16,42
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus",123,213,180,269,35,176,91,229,192,120,260,76,97,394,236,90,179,210,96,117,184,130,224,181,106,385,240,526,192,79,495,428,603,487,59,193,149,105,29,337,263,273,438,46,112,340,387
"d__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales|f__Trueperaceae|g__Truepera",123,249,110,109,41,70,90,198,301,113,111,116,33,193,115,150,197,254,81,48,223,118,181,86,53,143,246,246,23,15,45,58,163,54,25,173,18,6,9,65,164,114,496,10,29,27,118
"d__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales|f__Fimbriimonadaceae|g__Fimbriimonas",23,6,9,16,3,8,2,37,5,11,4,7,6,5,4,7,34,14,7,11,13,16,7,14,3,11,5,20,5,12,12,22,3,12,6,7,14,1,0,5,15,10,9,9,6,8,24
"d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus",31,34,49,48,5,17,2,3,37,26,32,12,14,12,6,9,23,8,8,82,45,27,12,15,20,54,109,69,14,6,65,67,80,35,8,22,10,6,1,31,48,37,153,5,29,27,29
"d__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Roseiflexus",33,86,24,35,4,16,15,24,63,23,42,28,20,51,32,25,27,47,34,10,25,46,43,21,13,44,44,41,24,6,42,73,42,22,5,15,14,4,3,73,15,18,6,9,12,20,69
"d__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter",27,9,13,25,0,1,9,0,3,11,15,11,4,15,17,4,25,5,15,13,14,9,8,16,11,53,30,89,29,5,9,27,61,19,7,10,15,10,2,56,26,23,12,6,30,103,32
"d__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium",18,29,18,39,12,40,36,18,48,43,14,31,5,50,33,54,51,48,33,7,48,25,21,36,11,33,53,93,7,7,20,22,44,49,3,46,6,0,1,25,57,56,160,2,20,74,30
"d__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__Anaerolinea",7,2,11,6,0,1,13,11,1,7,7,19,5,20,4,2,3,1,2,3,2,3,2,15,1,7,15,9,8,7,32,0,4,3,3,11,2,0,0,6,4,5,12,2,1,0,18
"d__Bacteria|p__Chloroflexi|c__Dehalococcoidia|g__Dehalogenimonas",4,122,46,44,5,33,15,41,24,54,60,27,4,43,59,22,76,50,18,88,28,13,58,24,15,20,27,49,29,1,2,16,31,21,2,8,47,6,3,14,5,21,29,4,35,57,48
"d__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae|g__Dehalococcoides",19,19,50,47,6,13,27,54,17,78,105,27,11,86,41,55,162,40,38,19,15,53,35,42,8,59,45,128,10,6,4,9,18,5,15,57,17,2,5,49,96,91,79,3,1,3,29
"d__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales|f__Caldilineaceae|g__Caldilinea",9,10,17,21,0,6,2,18,11,7,18,8,6,21,6,13,25,11,8,9,6,8,13,22,2,11,23,30,15,5,5,6,8,3,10,8,20,1,3,12,13,17,10,7,6,17,12
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces",57310,44077,23422,40922,2269,5828,882,2403,157232,24894,20668,2329,1373,3006,7681,938,3968,13746,6670,80843,60750,17449,3890,44483,62669,476050,373374,914256,153330,125322,853291,1342925,1366485,939627,57903,230545,555840,291648,72870,462464,629868,950527,996071,24779,202817,843774,1350978
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus",7,52,25,43,4,27,6,44,48,14,62,24,15,11,32,12,20,50,21,145,42,24,17,25,21,122,67,127,20,34,49,230,318,157,16,50,25,7,19,116,45,69,38,6,62,207,63
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium",16,15,10,6,9,7,1,3,1138,41,14,5,14,28,12,25,14,4,33,73,54,16,15,51,18,92,58,160,31,21,27,175,268,111,10,17,11,7,3,17,42,67,37,1,20,305,39
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella",63,89,67,100,6,14,10,8,149,26,75,20,8,120,49,17,31,27,106,78,54,39,27,85,95,602,292,1019,103,100,255,1025,1606,466,36,188,19,25,17,123,67,124,138,15,310,1990,193
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum",17,59,37,33,10,4,6,9,73,21,53,13,7,9,2,6,3,21,5,72,44,31,19,100,91,476,242,1076,81,184,231,1005,1508,589,23,114,18,20,5,100,132,171,208,14,266,1854,121
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium",41569,2237,530,771,123,245,245,307,765,625,7991,17354,438,516,472,972,804,562,2699,2883,554,3875,1278,546,773,3153,1952,3399,645,4603,2464,3782,5193,3893,1216,15858,236,265,106,1925,1197,1518,1305,144,1595,4521,1223
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella",90,155,54,18,43,94,102,319,27,110,79,112,40,66,36,106,152,133,98,136,133,113,245,57,27,84,114,149,40,27,39,8,80,17,14,78,36,22,2,101,105,177,334,2,16,83,58
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia",1677,4288,33,4,94,78,14,7,127,69,33,423,174,3,14,33,23,30,507,3212,370,1008,395,4,19,74,93,22,7,167,42,29,14,14,887,703,1,1,0,72,5,9,8,0,1,985,25
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia",282,634,17,18,52,73,21,40,24,205,98,199,80,141,49,179,142,102,2084,664,149,168,150,30,773,12155,55,200,28,87,56,108,223,107,15689,261,11,30,6,102,62,104,99,4,31,377,81
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Micrococcus",7,62,39,39,6,9,3,4,117,14,28,7,9,3,3,3,8,16,1,153,45,24,6,121,87,370,257,801,167,217,294,504,723,780,44,146,44,40,26,105,183,331,288,23,459,784,302
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Renibacterium",4,25,12,17,6,5,13,48,38,16,26,1,2,8,10,16,28,59,6,14,17,21,102,9,19,62,39,22,10,5,14,65,81,92,8,11,5,8,4,59,23,17,9,6,26,35,43
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter",118,470,258,282,34,125,40,115,4592,130,434,120,111,242,249,85,124,444,124,740,319,203,212,567,592,2123,1377,2994,714,697,1588,2760,4420,3448,196,629,260,324,134,955,902,1161,1044,147,1561,3349,1035
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia",21442,75706,38564,14049,2594,40804,604,11842,72715,5566,7389,1763,2059,58044,22367,128,6601,11621,24557,15924,53012,47369,9710,20857,33538,33658,646,60448,21184,452,25111,2400,39126,752,21803,5407,23781,11630,183,1032,92533,102785,10721,879,1952,32752,23974
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria",66,213,131,109,15,37,7,19,207,53,101,21,14,18,32,9,13,36,30,356,90,77,56,388,329,1493,1024,2741,485,822,1163,1990,2846,2984,156,583,162,199,84,442,711,1118,1025,111,1468,3094,840
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Sinomonas",21,134,33,33,6,5,2,0,208,8,44,3,7,10,9,5,5,31,2,295,42,30,15,91,95,490,379,1074,136,195,365,828,1178,921,33,151,35,52,27,160,211,283,269,32,418,1674,291
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Glutamicibacter",7,65,43,40,2,28,12,71,60,17,93,5,10,39,47,8,16,70,10,70,33,44,88,58,110,296,205,286,90,50,201,405,526,523,18,70,29,51,14,183,177,193,189,14,219,376,161
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Paenarthrobacter",0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,10,0,2,0,3,0,8,4,21,8,5,25,16,42,16,3,5,1,11,0,7,9,14,20,1,3,34,6
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Pseudarthrobacter",84,195,88,100,24,52,11,15,339,8,133,42,32,63,61,27,36,111,21,214,64,91,95,175,155,676,439,872,179,216,584,936,1075,1184,52,201,88,139,40,327,310,360,358,32,385,830,368
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Neomicrococcus",1,8,14,5,1,7,8,2,10,11,8,15,7,9,5,3,3,13,20,6,5,11,4,10,20,57,36,63,15,19,35,56,100,32,10,19,17,12,1,19,39,45,37,3,26,63,40
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Cellulomonadaceae|g__Cellulomonas",50,152,101,83,11,31,11,5,167,22,91,21,13,14,25,7,12,18,9,402,59,72,18,326,255,1280,997,2607,409,678,967,1756,3049,2551,130,539,118,133,63,384,526,794,760,72,1397,3378,754
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Xylanimonas",22,58,41,36,4,15,3,13,166,8,43,4,2,16,9,5,13,16,4,277,34,19,10,145,120,792,620,1615,203,431,517,934,1522,1540,39,222,31,46,36,168,297,465,409,40,816,2335,332
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae|g__Isoptericola",33,119,82,81,13,31,12,19,224,17,103,20,32,42,27,20,9,34,18,260,49,52,26,306,201,1162,799,2275,361,603,886,1900,2823,2128,97,490,81,84,51,367,548,862,845,70,963,2903,584
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium",23,126,67,74,13,50,20,57,166,25,85,37,21,80,67,39,48,133,39,191,74,49,39,112,123,534,398,715,165,153,526,868,1221,726,52,163,36,55,24,198,240,276,359,29,386,1147,271
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Dermabacter",13,28,18,12,0,9,1,9,44,7,18,3,2,21,5,2,14,12,3,76,12,41,16,36,27,130,81,286,26,41,131,245,369,201,7,38,35,26,12,47,45,67,46,7,95,268,108
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Brachybacterium",47,128,67,102,10,24,8,19,291,27,87,31,17,25,59,13,26,62,72,518,119,67,30,302,258,1214,922,2417,406,646,971,1621,2232,2521,73,498,61,110,50,395,583,1013,957,77,1226,2884,675
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Dermabacteraceae|g__Devriesea",4,25,14,18,9,8,6,9,23,5,27,4,7,4,4,2,8,44,9,81,14,9,11,43,31,134,59,196,56,64,93,257,333,244,7,42,13,12,5,92,48,63,45,9,125,295,72
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Intrasporangium",46,61,19,34,2,12,3,54,50,8,59,6,4,17,19,7,10,56,28,110,43,29,28,74,98,358,268,629,126,185,366,569,788,689,31,122,19,39,20,167,160,226,183,12,220,775,200
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Janibacter",20,106,33,18,2,7,1,3,411,7,54,5,6,12,24,11,28,37,5,116,46,22,14,76,107,500,309,684,131,217,354,644,901,837,46,168,29,31,23,106,171,286,204,32,350,862,138
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Serinicoccus",21,36,37,31,4,21,1,5,68,11,49,8,3,9,11,6,4,23,12,107,32,19,19,120,131,622,346,923,171,254,449,722,1013,902,48,156,46,27,23,173,199,293,289,34,409,1092,323
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__Arsenicicoccus",42,56,27,49,21,29,2,1,142,13,46,12,10,14,11,5,9,38,12,229,40,19,14,132,100,638,432,1143,182,270,508,862,1274,1123,50,173,32,50,34,147,180,329,260,36,608,1608,204
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Jonesiaceae|g__Jonesia",6,21,14,22,4,30,4,24,31,9,68,1,0,100,31,2,8,49,12,32,26,11,38,28,23,134,82,106,28,30,104,165,192,321,3,12,4,10,10,74,34,33,16,6,87,182,54
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Clavibacter",29,75,43,50,6,22,4,7,115,20,84,7,4,24,20,19,14,75,21,224,65,69,41,122,96,721,421,1156,201,287,452,906,1531,1271,64,229,41,54,32,227,348,438,475,38,570,1525,323
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Curtobacterium",37,78,36,58,1,14,2,11,81,17,38,9,8,22,30,5,27,10,32,110,33,40,15,73,97,454,310,887,148,289,427,683,1029,1060,39,172,39,47,21,186,269,365,410,30,488,1043,228
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Agromyces",6,35,22,14,1,4,5,27,22,13,14,4,4,5,17,0,9,50,9,57,22,16,7,39,45,252,104,336,90,87,164,351,540,268,28,67,20,34,15,66,96,130,113,11,83,391,130
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium",179,362,187,225,23,81,21,78,351,108,211,52,33,135,100,40,59,102,61,592,184,156,101,395,329,2005,1308,3138,578,770,1357,2538,4527,3329,175,719,143,226,77,660,775,1172,1009,114,1819,4216,947
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Rathayibacter",14,39,21,35,6,23,2,38,103,21,47,19,7,36,29,21,21,51,14,152,58,29,11,57,50,260,177,287,72,91,158,337,467,503,30,82,36,24,14,76,66,113,98,16,256,408,136
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Cryobacterium",15,34,29,24,0,11,5,18,48,7,40,7,20,6,19,6,15,62,14,87,17,23,36,86,81,300,169,403,94,102,197,415,559,443,27,100,17,22,13,62,77,136,119,16,206,388,150
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Leifsonia",27,39,41,47,4,19,1,15,145,23,38,9,7,6,15,13,21,60,13,137,33,39,35,117,68,509,364,745,152,172,316,717,1145,785,38,164,51,58,19,147,210,252,246,29,422,1026,334
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Frondihabitans",10,12,12,13,0,8,3,11,21,10,14,2,3,5,10,1,2,17,10,35,11,30,13,39,41,179,81,227,51,52,150,189,324,192,23,46,18,30,8,62,65,101,78,9,118,168,83
"d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Microterricola",5,27,16,8,1,7,4,1,28,6,31,15,20,5,2,5,14,13,6,33,26,11,5,42,37,196,150,352,67,87,124,150,311,346,26,103,10,28,9,55,71,126,93,13,191,468,112
