"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Bacteroidetes|c__Sphingobacteriia",308,315,452,495,172,466,322,1234,382,583,768,316,148,841,834,335,1148,736,434,123,219,716,690,344,203,414,409,386,251,107,232,93,436,84,99,256,140,92,66,530,326,231,369,88,134,106,296
"d__Bacteria|p__Bacteroidetes|c__Bacteroidia",1534973,608682,980204,2401736,241129,227493,439680,315261,965060,1626226,1634893,2083193,449152,457365,548126,2966277,666865,943391,1224713,177872,137678,1268809,1404885,393979,121010,1405625,779141,524405,145292,419538,1159607,47321,525959,57783,257369,1722490,908187,25707,42640,1382893,1435115,2228376,1391410,116202,100976,45481,310967
"d__Bacteria|p__Bacteroidetes|c__Cytophagia",1021,1027,1420,1628,346,1234,931,2566,1167,1919,2557,1005,429,2062,2397,1139,2977,2114,1195,364,517,2042,2192,955,444,1224,1163,1197,669,448,1116,341,1310,340,228,817,351,209,134,1397,1084,775,1189,125,255,316,843
"d__Bacteria|p__Bacteroidetes|c__Chitinophagia",244,240,221,288,100,296,201,430,105,314,365,214,97,399,443,291,587,414,233,86,100,527,400,106,86,247,255,145,46,64,141,32,172,30,56,117,80,43,14,290,189,141,152,21,22,36,106
"d__Bacteria|p__Bacteroidetes|c__Saprospiria",108,84,101,121,35,145,107,267,82,142,159,72,50,180,172,96,215,163,67,24,27,193,159,85,40,94,74,98,36,25,49,17,137,3,16,49,37,12,5,95,72,73,93,12,10,19,71
"d__Bacteria|p__Chlorobi|c__Chlorobia",251,339,235,287,59,171,171,232,363,391,462,126,67,368,239,301,373,292,275,117,285,274,298,335,69,223,215,470,166,56,188,80,243,67,57,205,350,49,31,222,247,198,243,41,58,99,190
"d__Bacteria|p__Ignavibacteriae|c__Ignavibacteria",26,18,31,77,15,35,54,89,64,102,141,27,22,52,23,63,100,11,27,12,17,40,41,14,3,18,36,23,7,19,39,17,17,4,13,21,11,1,1,120,35,33,58,5,4,9,22
"d__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes",14,29,25,30,12,21,5,26,51,21,35,16,12,37,27,22,28,12,13,6,13,26,15,31,13,31,42,52,22,4,40,9,65,16,5,15,21,7,6,43,13,9,4,10,9,20,41
"d__Bacteria|p__Firmicutes|c__Bacilli",298488,1425954,633325,179598,549313,962968,163047,615288,413004,1428288,676559,1173969,297531,1103218,591528,126189,345901,444553,810595,2236847,3257939,1387869,1551873,85718,142446,116841,49579,384413,19467,351150,732371,31195,414015,25651,104133,69325,182513,186230,2824,262846,40569,101859,60308,7990,22716,317685,126841
"d__Bacteria|p__Firmicutes|c__Clostridia",8634,5534,19497,10550,6034,7850,13327,21105,13791,26498,11686,16877,5419,11348,11804,248387,63255,12890,27060,12895,13774,10838,7991,41456,1581,8324,6994,241676,22955,2390,5559,3303,7343,2303,14338,25091,23856,1332,2714,25666,70485,156783,155273,7187,5853,6047,5019
